facility_id,state_id,lga_id,name,facility_type,address1,address2,phone1,phone2,email,pad_hospital_num,day_dqa,active,processing,national_id,datim_id
33,1,2,ab Aba South Health Office,Urban,"","","","","",1,12,0,0,,
38,1,2,ab Annabelles Bogi Development Initiative (ABDI),Urban,"","","","","",1,12,0,0,,
83,1,3,ab St Anthonys Hospital (Arochukwu),Rural,"","","","","",1,12,0,0,,
90,1,4,ab Amaba Ugwueke Health ,Rural,"","","","","",1,12,0,0,,
104,1,4,ab Nkechi Colwill Hospital ,Rural,"","","","","",1,12,0,0,,
108,1,4,ab Ugwueke Royal Cross Hospital,Rural,"","","","","",1,12,0,0,,
138,1,6,ab Chinonyerem Maternity,Rural,"","","","","",1,12,0,0,,
142,1,6,ab Ihie Health Centre,Rural,"","","","","",1,12,0,0,,
144,1,6,ab Ntigha Primary Health Centre,Rural,"","","","","",1,12,0,0,,
146,1,6,ab Okualangwa Primary Health Centre,Rural,"","","","","",1,12,0,0,,
174,1,7,ab St Simons Maternity,Rural,"","","","","",1,12,0,0,,
176,1,7,ab Umuajuju Health Centre,Rural,"","","","","",1,12,0,0,,
190,1,8,ab Mbaugwu Primary Health Centre,Rural,"","","","","",1,12,0,0,,
196,1,8,ab Onuaku Primary Health Centre ,Rural,"","","","","",1,12,0,0,,
198,1,8,ab Ovim Primary Health Centre,Rural,"","","","","",1,12,0,0,,
223,1,9,ab Presbyterian Community Services And Development,Urban,"","","","","",1,12,0,0,,
224,1,9,ab Regent Cross Clinic,Rural,"","","","","",1,12,0,0,,
267,1,11,ab Gods Favour Hospital,Rural,"","","","","",1,12,0,0,,
286,1,11,ab St. Pauls Hospital,Urban,"","","","","",1,12,0,0,,
317,1,13,ab Akirika Uku Health ,Rural,"","","","","",1,12,0,0,,
345,1,15,ab Chidinma Specialist Hospitals,Urban,"","","","","",1,12,0,0,,
346,1,15,ab Daughters of Mary Mother of Mercy Hospital ,Urban,"","","","","",1,12,0,0,,
351,1,15,ab Hebrew Women Maternity Home ,Urban,"","","","","",1,12,0,0,,
363,1,15,ab Total Development Action Initiative (TDAI),Urban,"","","","","",1,12,0,0,,
378,1,16,ab HU PACE Community Pharmacists,"","","","","","",1,12,0,0,,
